Source,Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction
CEINT,91,18,Dispersive,NanoSilver,0,mg/L,Danio rerio,Hatching Rate,0,Less
CEINT,92,18,Dispersive,NanoSilver,5,mg/L,Danio rerio,Hatching Rate,0.005631,Less
CEINT,93,18,Dispersive,NanoSilver,10,mg/L,Danio rerio,Hatching Rate,0.006465,Less
CEINT,94,18,Dispersive,NanoSilver,25,mg/L,Danio rerio,Hatching Rate,0.161192,Less
CEINT,95,18,Dispersive,NanoSilver,50,mg/L,Danio rerio,Hatching Rate,0.214913,Less
CEINT,96,18,Dispersive,NanoSilver,100,mg/L,Danio rerio,Hatching Rate,0.836221,Less
CEINT,109,21,Dispersive,NanoSilver,0,mg/L,Danio rerio,Mortality,0,More
CEINT,110,21,Dispersive,NanoSilver,10,mg/L,Danio rerio,Mortality,0.033329,More
CEINT,111,21,Dispersive,NanoSilver,25,mg/L,Danio rerio,Mortality,0.139997,More
CEINT,112,21,Dispersive,NanoSilver,50,mg/L,Danio rerio,Mortality,0.25333,More
CEINT,113,21,Dispersive,NanoSilver,75,mg/L,Danio rerio,Mortality,0.439998,More
CEINT,114,21,Dispersive,NanoSilver,100,mg/L,Danio rerio,Mortality,0.573332,More
CEINT,115,22,Dispersive,NanoSilver,0,mg/L,Danio rerio,Hatching Rate,0,Less
CEINT,116,22,Dispersive,NanoSilver,10,mg/L,Danio rerio,Hatching Rate,0.0875,Less
CEINT,117,22,Dispersive,NanoSilver,25,mg/L,Danio rerio,Hatching Rate,0.10625,Less
CEINT,118,22,Dispersive,NanoSilver,50,mg/L,Danio rerio,Hatching Rate,0.1375,Less
CEINT,119,22,Dispersive,NanoSilver,75,mg/L,Danio rerio,Hatching Rate,0.55,Less
CEINT,120,22,Dispersive,NanoSilver,100,mg/L,Danio rerio,Hatching Rate,0.70625,Less
CEINT,121,23,Dispersive,NanoSilver,0,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0,Less
CEINT,122,23,Dispersive,NanoSilver,10,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0.038094,Less
CEINT,123,23,Dispersive,NanoSilver,25,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0.019048,Less
CEINT,124,23,Dispersive,NanoSilver,50,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0.333333,Less
CEINT,125,23,Dispersive,NanoSilver,75,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0.419047,Less
CEINT,126,23,Dispersive,NanoSilver,100,mg/L,Danio rerio,Heart Rate @ 24 Hpf,0.428571,Less
CEINT,127,24,Dispersive,NanoSilver,0,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0,Less
CEINT,128,24,Dispersive,NanoSilver,10,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0.021282,Less
CEINT,129,24,Dispersive,NanoSilver,25,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0.07234,Less
CEINT,130,24,Dispersive,NanoSilver,50,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0.489363,Less
CEINT,131,24,Dispersive,NanoSilver,75,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0.536172,Less
CEINT,132,24,Dispersive,NanoSilver,100,mg/L,Danio rerio,Heart Rate @ 48 Hpf,0.548937,Less
CEINT,133,25,Dispersive,NanoSilver,0,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0,Less
CEINT,134,25,Dispersive,NanoSilver,10,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.067799,Less
CEINT,135,25,Dispersive,NanoSilver,25,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.093224,Less
CEINT,136,25,Dispersive,NanoSilver,50,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.20339,Less
CEINT,137,25,Dispersive,NanoSilver,75,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.51695,Less
CEINT,138,25,Dispersive,NanoSilver,100,mg/L,Danio rerio,Heart Rate @ 72 Hpf,0.550848,Less
CEINT,139,26,Dispersive,NanoSilver,0,mg/L,Allium cepa,Mitotic Index,0,Less
CEINT,140,26,Dispersive,NanoSilver,25,mg/L,Allium cepa,Mitotic Index,0.387065,Less
CEINT,141,26,Dispersive,NanoSilver,50,mg/L,Allium cepa,Mitotic Index,0.366501,Less
CEINT,142,26,Dispersive,NanoSilver,75,mg/L,Allium cepa,Mitotic Index,0.51675,Less
CEINT,143,26,Dispersive,NanoSilver,100,mg/L,Allium cepa,Mitotic Index,0.541957,Less
CEINT,144,27,Dispersive,NanoSilver,0,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0,Less
CEINT,145,27,Dispersive,NanoSilver,0.5,mg/L,human lung carcinoma epithelial-like cell,Mitochondrial Activity,0.147958,Less
